timestamp,asset_id,price,size,side,best_bid,best_ask
1771591958131,NO,0.32,531,SELL,0.26,0.27
1771591958132,NO,0.22,1316,BUY,0.26,0.27
1771591958132,YES,0.78,1316,SELL,0.73,0.74
1771591958133,YES,0.71,412.85,BUY,0.73,0.74
1771591958133,NO,0.29,412.85,SELL,0.26,0.27
1771591958134,NO,0.19,406,BUY,0.26,0.27
1771591958134,YES,0.81,406,SELL,0.73,0.74
1771591958134,YES,0.67,504.87,BUY,0.73,0.74
1771591958134,NO,0.33,504.87,SELL,0.26,0.27
1771591958135,NO,0.24,174.04,BUY,0.26,0.27
1771591958135,YES,0.76,174.04,SELL,0.73,0.74
1771591958151,NO,0.16,399.04,BUY,0.26,0.27
1771591958151,YES,0.84,399.04,SELL,0.73,0.74
1771591958152,NO,0.36,456.75,SELL,0.26,0.27
1771591958152,YES,0.64,456.75,BUY,0.73,0.74
1771591958160,YES,0.6,444,BUY,0.73,0.74
1771591958160,NO,0.4,444,SELL,0.26,0.27
1771591958165,YES,0.71,312.85,BUY,0.73,0.74
1771591958165,NO,0.29,312.85,SELL,0.26,0.27
1771591958180,NO,0.26,23.15,BUY,0.26,0.27
1771591958180,YES,0.74,23.15,SELL,0.73,0.74
1771591958182,NO,0.25,241.91,BUY,0.26,0.27
1771591958182,YES,0.75,241.91,SELL,0.73,0.74
1771591958182,YES,0.53,492.98,BUY,0.73,0.74
1771591958182,NO,0.47,492.98,SELL,0.26,0.27
1771591958268,YES,0.73,824.09,BUY,0.73,0.74
1771591958268,NO,0.27,824.09,SELL,0.26,0.27
1771591958270,NO,0.36,466.75,SELL,0.26,0.27
1771591958270,YES,0.64,466.75,BUY,0.73,0.74
1771591958271,NO,0.38,446,SELL,0.26,0.27
1771591958271,YES,0.62,446,BUY,0.73,0.74
1771591958278,YES,0.73,814.09,BUY,0.73,0.74
1771591958278,NO,0.27,814.09,SELL,0.26,0.27
1771591958279,NO,0.35,434,SELL,0.26,0.27
1771591958279,YES,0.65,434,BUY,0.73,0.74
1771591958280,YES,0.74,33.15,SELL,0.73,0.74
1771591958280,NO,0.26,33.15,BUY,0.26,0.27
1771591958281,YES,0.67,494.87,BUY,0.73,0.74
1771591958281,NO,0.33,494.87,SELL,0.26,0.27
1771591958282,NO,0.34,439,SELL,0.26,0.27
1771591958282,YES,0.66,439,BUY,0.73,0.74
1771591958283,YES,0.74,43.15,SELL,0.73,0.74
1771591958283,NO,0.26,43.15,BUY,0.26,0.27
1771591958292,NO,0.35,444,SELL,0.26,0.27
1771591958292,YES,0.65,444,BUY,0.73,0.74
1771591958293,YES,0.74,53.15,SELL,0.73,0.74
1771591958293,NO,0.26,53.15,BUY,0.26,0.27
1771591958332,NO,0.24,54.04,BUY,0.26,0.27
1771591958332,YES,0.76,54.04,SELL,0.73,0.74
1771591958337,NO,0.2,283,BUY,0.26,0.27
1771591958337,YES,0.8,283,SELL,0.73,0.74
1771591958344,YES,0.72,148.95,BUY,0.73,0.74
1771591958344,NO,0.28,148.95,SELL,0.26,0.27
1771591958411,YES,0.66,429,BUY,0.73,0.74
1771591958411,NO,0.34,429,SELL,0.26,0.27
1771591958436,YES,0.72,58.95,BUY,0.73,0.74
1771591958436,NO,0.28,58.95,SELL,0.26,0.27
1771591958440,NO,0.99,9011.24,SELL,0.26,0.27
1771591958440,YES,0.01,9011.24,BUY,0.73,0.74
1771591958444,NO,0.25,331.91,BUY,0.26,0.27
1771591958444,YES,0.75,331.91,SELL,0.73,0.74
1771591958519,NO,0.19,393,BUY,0.26,0.27
1771591958519,YES,0.81,393,SELL,0.73,0.74
1771591958535,NO,0.38,436,SELL,0.26,0.27
1771591958535,YES,0.62,436,BUY,0.73,0.74
1771591958540,YES,0.74,63.15,SELL,0.73,0.74
1771591958540,NO,0.26,63.15,BUY,0.26,0.27
1771591958554,YES,0.74,73.15,SELL,0.73,0.74
1771591958554,NO,0.26,73.15,BUY,0.26,0.27
1771591958561,YES,0.65,434,BUY,0.73,0.74
1771591958561,NO,0.35,434,SELL,0.26,0.27
1771591958564,NO,0.36,456.75,SELL,0.26,0.27
1771591958564,YES,0.64,456.75,BUY,0.73,0.74
1771591958605,YES,0.71,412.85,BUY,0.73,0.74
1771591958605,NO,0.29,412.85,SELL,0.26,0.27
1771591958608,YES,0.71,422.85,BUY,0.73,0.74
1771591958608,NO,0.29,422.85,SELL,0.26,0.27
1771591958626,NO,0.24,48.45,BUY,0.26,0.27
1771591958626,YES,0.76,48.45,SELL,0.73,0.74
1771591958699,YES,0.8,295,SELL,0.73,0.74
1771591958699,NO,0.2,295,BUY,0.26,0.27
1771591958707,YES,0.65,444,BUY,0.73,0.74
1771591958707,NO,0.35,444,SELL,0.26,0.27
1771591958743,NO,0.13,485,BUY,0.26,0.27
1771591958743,YES,0.87,485,SELL,0.73,0.74
1771591958764,NO,0.33,504.87,SELL,0.26,0.27
1771591958764,YES,0.67,504.87,BUY,0.73,0.74
1771591958766,NO,0.34,419,SELL,0.26,0.27
1771591958766,YES,0.66,419,BUY,0.73,0.74
1771591958779,NO,0.35,454,SELL,0.26,0.27
1771591958779,YES,0.65,454,BUY,0.73,0.74
1771591958781,YES,0.6,454,BUY,0.73,0.74
1771591958781,NO,0.4,454,SELL,0.26,0.27
1771591958789,NO,0.25,321.91,BUY,0.26,0.27
1771591958789,YES,0.75,321.91,SELL,0.73,0.74
1771591958797,NO,0.26,78.15,BUY,0.26,0.27
1771591958797,YES,0.74,78.15,SELL,0.73,0.74
1771591958812,YES,0.7,587.64,BUY,0.73,0.74
1771591958812,NO,0.3,587.64,SELL,0.26,0.27
1771591958840,YES,0.73,804.09,BUY,0.73,0.74
1771591958840,NO,0.27,804.09,SELL,0.26,0.27
1771591958847,YES,0.71,432.85,BUY,0.73,0.74
1771591958847,NO,0.29,432.85,SELL,0.26,0.27
1771591958852,NO,0.23,404.5,BUY,0.26,0.27
1771591958852,YES,0.77,404.5,SELL,0.73,0.74
1771591958887,NO,0.26,83.15,BUY,0.26,0.27
1771591958887,YES,0.74,83.15,SELL,0.73,0.74
1771591958909,NO,0.26,80.12,BUY,0.26,0.27
1771591958909,YES,0.74,80.12,SELL,0.73,0.74
1771591958920,NO,0.25,327.27,BUY,0.26,0.27
1771591958920,YES,0.75,327.27,SELL,0.73,0.74
1771591958921,NO,0.07,819.06,BUY,0.26,0.27
1771591958921,YES,0.93,819.06,SELL,0.73,0.74
1771591959027,NO,0.26,78.63,BUY,0.26,0.27
1771591959027,YES,0.74,78.63,SELL,0.73,0.74
1771591959030,NO,0.24,38.4,BUY,0.26,0.27
1771591959030,YES,0.76,38.4,SELL,0.73,0.74
1771591959031,NO,0.33,514.87,SELL,0.26,0.27
1771591959031,YES,0.67,514.87,BUY,0.73,0.74
1771591959034,NO,0.26,73.63,BUY,0.26,0.27
1771591959034,YES,0.74,73.63,SELL,0.73,0.74
1771591959036,YES,0.74,83.48,SELL,0.73,0.74
1771591959036,NO,0.26,83.48,BUY,0.26,0.27
1771591959048,NO,0.26,83.43,BUY,0.26,0.27
1771591959048,YES,0.74,83.43,SELL,0.73,0.74
1771591959093,YES,0.73,795.79,BUY,0.73,0.74
1771591959093,NO,0.27,795.79,SELL,0.26,0.27
1771591959116,YES,0.73,795.62,BUY,0.73,0.74
1771591959116,NO,0.27,795.62,SELL,0.26,0.27
1771591959123,NO,0.26,88.43,BUY,0.26,0.27
1771591959123,YES,0.74,88.43,SELL,0.73,0.74
1771591959142,NO,0.26,83.43,BUY,0.26,0.27
1771591959142,YES,0.74,83.43,SELL,0.73,0.74
1771591959146,NO,0.26,78.43,BUY,0.26,0.27
1771591959146,YES,0.74,78.43,SELL,0.73,0.74
1771591959152,YES,0.53,502.98,BUY,0.73,0.74
1771591959152,NO,0.47,502.98,SELL,0.26,0.27
1771591959208,NO,0.14,475,BUY,0.26,0.27
1771591959208,YES,0.86,475,SELL,0.73,0.74
1771591959209,NO,0.21,349.25,BUY,0.26,0.27
1771591959209,YES,0.79,349.25,SELL,0.73,0.74
1771591959210,YES,0.7,554.15,BUY,0.73,0.74
1771591959210,NO,0.3,554.15,SELL,0.26,0.27
1771591959212,NO,0.22,1337,BUY,0.26,0.27
1771591959212,YES,0.78,1337,SELL,0.73,0.74
1771591959213,NO,0.23,417,BUY,0.26,0.27
1771591959213,YES,0.77,417,SELL,0.73,0.74
1771591959213,NO,0.09,280,BUY,0.26,0.27
1771591959213,YES,0.91,280,SELL,0.73,0.74
1771591959214,NO,0.25,301.41,BUY,0.26,0.27
1771591959214,YES,0.75,301.41,SELL,0.73,0.74
1771591959215,NO,0.22,1352,BUY,0.26,0.27
1771591959215,YES,0.78,1352,SELL,0.73,0.74
1771591959216,NO,0.1,1088.24,BUY,0.26,0.27
1771591959216,YES,0.9,1088.24,SELL,0.73,0.74
1771591959217,YES,0.72,43.95,BUY,0.73,0.74
1771591959217,NO,0.28,43.95,SELL,0.26,0.27
1771591959218,YES,0.71,332.85,BUY,0.73,0.74
1771591959218,NO,0.29,332.85,SELL,0.26,0.27
1771591959219,NO,0.24,23.4,BUY,0.26,0.27
1771591959219,YES,0.76,23.4,SELL,0.73,0.74
1771591959219,YES,0.76,8.4,SELL,0.73,0.74
1771591959219,NO,0.24,8.4,BUY,0.26,0.27
1771591959220,NO,0.25,421.41,BUY,0.26,0.27
1771591959220,YES,0.75,421.41,SELL,0.73,0.74
1771591959221,NO,0.27,780.62,SELL,0.26,0.27
1771591959221,YES,0.73,780.62,BUY,0.73,0.74
1771591959224,YES,0.73,765.62,BUY,0.73,0.74
1771591959224,NO,0.27,765.62,SELL,0.26,0.27
1771591959225,YES,0.7,454.15,BUY,0.73,0.74
1771591959225,NO,0.3,454.15,SELL,0.26,0.27
1771591959226,NO,0.22,392,BUY,0.26,0.27
1771591959226,YES,0.78,392,SELL,0.73,0.74
1771591959226,NO,0.28,28.95,SELL,0.26,0.27
1771591959226,YES,0.72,28.95,BUY,0.73,0.74
1771591959227,YES,0.73,12,BUY,0.73,0.74
1771591959227,NO,0.27,12,SELL,0.26,0.27
1771591959228,NO,0.25,241.41,BUY,0.26,0.27
1771591959228,YES,0.75,241.41,SELL,0.73,0.74
1771591959229,YES,0.71,152.85,BUY,0.73,0.74
1771591959229,NO,0.29,152.85,SELL,0.26,0.27
1771591959234,YES,0.66,429,BUY,0.73,0.74
1771591959234,NO,0.34,429,SELL,0.26,0.27
1771591959238,YES,0.69,566.99,BUY,0.73,0.74
1771591959238,NO,0.31,566.99,SELL,0.26,0.27
1771591959241,NO,0.26,138.43,BUY,0.26,0.27
1771591959241,YES,0.74,138.43,SELL,0.73,0.74
1771591959242,NO,0.26,164.29,BUY,0.26,0.27
1771591959242,YES,0.74,164.29,SELL,0.73,0.74
